Id,Date,Open,Close,High,Low,Vol,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-03T07:02:00Z,301.05,301.05,301.05,301.05,2,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-04T11:57:00Z,320,320,320,320,1,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-04T14:52:00Z,323,323,323,323,8,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-05T07:12:00Z,325.7,325.7,325.7,325.7,3,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-05T09:21:00Z,322,322,322,322,1,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-06T07:09:00Z,316.5,316.5,316.5,316.5,1,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-06T07:42:00Z,307.95,307.95,307.95,307.95,1,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-10T09:55:00Z,319,319,319,319,1,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-10T14:30:00Z,319,319,319,319,8,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-13T07:09:00Z,333.3,333.3,333.3,333.3,4,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-13T09:25:00Z,318.95,318.95,318.95,318.95,6,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-14T14:44:00Z,294.55,294.55,294.55,294.55,3,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-17T07:14:00Z,318.95,318.95,318.95,318.95,1,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-17T07:17:00Z,282.35,282.35,282.35,282.35,5,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-17T09:57:00Z,294,294,294,294,2,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-18T07:46:00Z,277.5,277.5,277.5,277.5,1,
04e0fe21-bf52-43d0-ae80-3b30d840e5af,2022-01-18T12:22:00Z,270.05,270.05,270.05,270.05,9,
